i,v
0,1400.0
1,1122.0
2,585.0
3,809.0
4,408.0
5,588.0
6,363.0
7,357.0
8,343.0
9,357.0
10,380.0
11,431.0
12,428.0
13,436.0
14,430.0
15,430.0
16,406.0
17,367.0
18,615.0
19,433.0
20,410.0
21,478.0
22,420.0
23,611.0
24,405.0
25,410.0
26,404.0
27,624.0
28,430.0
29,500.0
30,509.0
31,919.0
32,590.0
33,573.0
34,854.0
35,576.0
36,833.0
37,528.0
38,533.0
39,827.0
40,587.0
41,904.0
42,522.0
43,526.0
44,794.0
45,556.0
46,865.0
47,568.0
48,766.0
49,530.0
50,684.0
51,443.0
52,715.0
53,677.0
54,429.0
55,610.0
56,423.0
57,596.0
58,415.0
59,554.0
60,525.0
61,360.0
62,592.0
63,565.0
64,371.0
65,480.0
66,458.0
67,299.0
68,446.0
69,448.0
70,303.0
71,450.0
72,368.0
73,270.0
74,410.0
75,318.0
76,391.0
77,232.0
78,374.0
79,468.0
80,671.0
81,391.0
82,439.0
83,378.0
84,335.0
85,307.0
86,163.0
87,269.0
88,306.0
89,282.0
90,498.0
91,1085.0
92,895.0
93,577.0
94,288.0
95,183.0
96,151.0
97,184.0
98,226.0
99,113.0
