i,v
0,533.0
1,5954.0
2,4634.0
3,3285.0
4,2516.0
5,1692.0
6,1304.0
7,1004.0
8,963.0
9,1103.0
10,1110.0
11,1112.0
12,1158.0
13,1231.0
14,1215.0
15,1094.0
16,1133.0
17,1094.0
18,1091.0
19,1035.0
20,942.0
21,813.0
22,690.0
23,696.0
24,599.0
25,541.0
26,505.0
27,478.0
28,468.0
29,438.0
30,385.0
31,402.0
32,386.0
33,371.0
34,331.0
35,336.0
36,287.0
37,288.0
38,251.0
39,233.0
40,195.0
41,235.0
42,198.0
43,163.0
44,209.0
45,139.0
46,147.0
47,171.0
48,155.0
49,174.0
50,144.0
51,146.0
52,146.0
53,136.0
54,114.0
55,130.0
56,124.0
57,141.0
58,106.0
59,142.0
60,128.0
61,128.0
62,112.0
63,106.0
64,100.0
65,100.0
66,95.0
67,101.0
68,113.0
69,87.0
70,104.0
71,93.0
72,96.0
73,94.0
74,78.0
75,80.0
76,80.0
77,68.0
78,84.0
79,88.0
80,82.0
81,66.0
82,79.0
83,73.0
84,59.0
85,79.0
86,73.0
87,65.0
88,64.0
89,60.0
90,70.0
91,81.0
92,61.0
93,65.0
94,71.0
95,55.0
96,73.0
97,79.0
98,110.0
99,59.0
