i,v
0,628.0
1,677.0
2,336.0
3,272.0
4,274.0
5,245.0
6,197.0
7,175.0
8,150.0
9,165.0
10,137.0
11,165.0
12,171.0
13,173.0
14,149.0
15,165.0
16,194.0
17,201.0
18,193.0
19,201.0
20,199.0
21,221.0
22,220.0
23,223.0
24,222.0
25,243.0
26,220.0
27,255.0
28,294.0
29,283.0
30,280.0
31,321.0
32,341.0
33,387.0
34,376.0
35,392.0
36,444.0
37,438.0
38,505.0
39,684.0
40,887.0
41,1028.0
42,1481.0
43,1391.0
44,1768.0
45,1716.0
46,1396.0
47,1891.0
48,1367.0
49,1282.0
50,1437.0
51,1246.0
52,1438.0
53,1487.0
54,1492.0
55,1388.0
56,1822.0
57,1577.0
58,1316.0
59,1302.0
60,1212.0
61,840.0
62,666.0
63,379.0
64,315.0
65,309.0
66,279.0
67,290.0
68,238.0
69,263.0
70,244.0
71,283.0
72,292.0
73,267.0
74,238.0
75,246.0
76,222.0
77,253.0
78,224.0
79,228.0
80,241.0
81,224.0
82,272.0
83,267.0
84,315.0
85,330.0
86,330.0
87,297.0
88,188.0
89,102.0
90,70.0
91,37.0
92,31.0
93,18.0
94,22.0
95,9.0
96,4.0
97,3.0
98,0.0
99,0.0
