i,v
0,0.0
1,7.0
2,23.0
3,32.0
4,52.0
5,41.0
6,34.0
7,15.0
8,30.0
9,29.0
10,32.0
11,26.0
12,54.0
13,101.0
14,155.0
15,166.0
16,255.0
17,327.0
18,405.0
19,512.0
20,624.0
21,817.0
22,946.0
23,942.0
24,981.0
25,900.0
26,851.0
27,939.0
28,1036.0
29,1182.0
30,1513.0
31,1468.0
32,1790.0
33,1643.0
34,1355.0
35,1339.0
36,1690.0
37,2013.0
38,2146.0
39,1826.0
40,1426.0
41,1195.0
42,1095.0
43,1238.0
44,1004.0
45,850.0
46,704.0
47,609.0
48,697.0
49,448.0
50,348.0
51,348.0
52,349.0
53,342.0
54,367.0
55,443.0
56,327.0
57,367.0
58,430.0
59,462.0
60,455.0
61,464.0
62,456.0
63,416.0
64,509.0
65,499.0
66,523.0
67,487.0
68,460.0
69,519.0
70,525.0
71,499.0
72,467.0
73,439.0
74,387.0
75,349.0
76,262.0
77,176.0
78,128.0
79,107.0
80,82.0
81,71.0
82,57.0
83,35.0
84,36.0
85,35.0
86,43.0
87,42.0
88,38.0
89,29.0
90,22.0
91,23.0
92,30.0
93,24.0
94,21.0
95,8.0
96,19.0
97,24.0
98,52.0
99,12.0
