i,v
0,2.0
1,5.0
2,20.0
3,26.0
4,40.0
5,64.0
6,122.0
7,140.0
8,208.0
9,308.0
10,425.0
11,490.0
12,465.0
13,497.0
14,521.0
15,468.0
16,442.0
17,521.0
18,440.0
19,422.0
20,395.0
21,417.0
22,441.0
23,453.0
24,416.0
25,434.0
26,430.0
27,459.0
28,393.0
29,417.0
30,478.0
31,387.0
32,414.0
33,464.0
34,376.0
35,373.0
36,392.0
37,373.0
38,371.0
39,373.0
40,342.0
41,394.0
42,343.0
43,356.0
44,319.0
45,340.0
46,280.0
47,345.0
48,292.0
49,307.0
50,231.0
51,308.0
52,224.0
53,266.0
54,300.0
55,307.0
56,457.0
57,450.0
58,807.0
59,1095.0
60,2045.0
61,2749.0
62,2092.0
63,2697.0
64,2750.0
65,2606.0
66,3011.0
67,2526.0
68,1997.0
69,1937.0
70,1663.0
71,1116.0
72,615.0
73,372.0
74,147.0
75,70.0
76,48.0
77,27.0
78,12.0
79,10.0
80,6.0
81,9.0
82,10.0
83,5.0
84,3.0
85,2.0
86,2.0
87,1.0
88,2.0
89,0.0
90,1.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
