x,y,0,1,2,3,4,5,6,7,8,9
0,0,107,124,106,123,108,105,125,91,104,92
0,1,107,124,106,123,105,108,125,91,104,141
0,2,124,107,106,123,105,108,125,141,91,142
0,3,124,107,106,123,105,125,108,141,142,91
0,4,107,124,106,123,105,108,125,91,141,104
0,5,107,106,124,123,105,108,125,91,104,92
0,6,107,106,105,124,108,123,91,104,125,92
0,7,106,107,105,108,104,124,123,91,125,122
0,8,106,105,107,104,108,124,123,88,91,89
0,9,105,106,104,107,88,89,123,103,124,108
0,10,105,106,104,88,107,89,103,87,90,123
0,11,105,104,106,88,103,107,87,89,123,122
0,12,105,104,106,88,103,107,89,87,90,122
0,13,105,104,106,88,103,87,107,89,123,122
0,14,105,104,106,88,103,87,89,107,72,122
0,15,105,104,106,88,103,87,89,107,122,123
0,16,105,104,106,88,89,107,103,122,87,121
0,17,105,104,106,88,89,107,122,123,103,90
0,18,105,106,104,88,89,73,72,122,107,90
0,19,105,106,104,88,122,89,123,107,73,72
0,20,105,106,104,88,72,73,89,122,123,107
0,21,105,106,104,88,89,72,73,107,122,123
0,22,105,106,104,88,122,89,73,107,72,123
0,23,105,104,106,88,107,122,123,103,89,121
0,24,105,104,106,103,122,107,88,123,121,87
0,25,105,106,104,107,88,123,124,89,122,103
0,26,105,106,104,88,107,89,73,72,90,91
0,27,105,106,104,88,107,89,72,73,123,108
0,28,105,106,104,73,88,72,107,89,90,91
0,29,105,106,104,107,89,73,88,123,90,72
0,30,105,106,104,107,89,88,73,72,90,91
0,31,105,106,104,107,89,88,123,73,90,108
0,32,105,106,104,107,88,89,73,72,123,91
0,33,105,106,104,107,89,123,88,73,108,122
0,34,105,106,104,107,89,88,123,73,91,124
0,35,105,106,107,104,123,89,88,108,124,90
0,36,106,105,107,104,89,108,88,123,91,124
0,37,106,105,107,104,108,89,123,88,91,90
0,38,106,105,107,104,108,89,91,88,90,123
0,39,106,105,107,104,89,108,123,91,90,88
0,40,106,105,107,104,91,108,89,90,88,73
0,41,105,106,107,104,91,108,89,90,88,123
0,42,106,105,107,104,91,108,89,90,92,88
0,43,106,105,107,104,91,108,92,89,90,88
0,44,106,105,107,104,91,92,89,90,73,122
0,45,106,105,107,104,91,122,123,92,108,90
0,46,106,105,107,91,104,122,92,123,90,76
0,47,106,105,107,91,122,92,104,123,108,121
0,48,106,105,107,122,123,91,92,121,104,124
0,49,106,122,123,91,121,105,107,124,120,92
0,50,106,121,123,122,91,105,107,137,120,124
0,51,106,121,123,122,105,91,107,137,124,120
0,52,106,123,122,105,121,91,107,124,90,137
0,53,106,123,122,121,105,91,107,124,137,90
0,54,106,123,122,105,121,107,124,91,141,140
0,55,106,123,122,124,107,121,105,91,141,140
1,0,107,124,108,125,106,123,109,105,126,91
1,1,107,124,108,106,125,123,105,109,126,91
1,2,107,124,106,108,125,123,105,142,91,141
1,3,107,124,106,123,108,125,105,142,91,141
1,4,107,124,106,123,108,125,105,142,141,91
1,5,107,124,106,108,123,125,105,91,142,141
1,6,107,106,124,108,123,105,125,91,109,104
1,7,107,106,105,124,123,108,125,104,91,122
1,8,106,107,105,124,108,123,104,125,91,109
1,9,106,105,107,104,123,124,108,125,91,88
1,10,105,106,107,104,108,124,123,88,91,89
1,11,105,106,104,107,123,108,88,124,91,89
1,12,105,106,104,107,88,108,123,91,89,124
1,13,105,104,106,107,88,123,108,89,91,103
1,14,105,104,106,107,88,89,91,123,108,103
1,15,105,104,106,88,107,89,123,122,103,90
1,16,105,106,104,88,107,89,123,122,90,91
1,17,105,106,104,88,89,107,90,122,123,103
1,18,105,106,104,88,89,73,122,107,123,72
1,19,105,106,89,104,88,73,72,107,122,90
1,20,105,106,104,122,123,88,89,107,72,73
1,21,105,106,104,89,88,122,73,72,107,123
1,22,105,106,104,122,123,107,89,88,121,73
1,23,105,104,106,122,123,107,88,121,103,124
1,24,105,106,104,123,122,107,124,88,121,103
1,25,105,106,104,107,88,123,89,124,122,108
1,26,105,106,104,107,88,89,123,73,72,91
1,27,105,106,107,104,89,73,88,72,108,123
1,28,106,105,107,123,73,89,104,122,88,90
1,29,106,105,107,89,73,104,123,90,88,91
1,30,106,105,107,123,89,73,104,122,90,88
1,31,106,105,107,89,73,104,90,123,88,91
1,32,106,105,107,123,89,73,104,122,88,90
1,33,106,105,107,123,89,73,90,91,104,122
1,34,106,105,123,107,89,122,73,104,90,124
1,35,106,105,107,123,89,90,104,73,91,88
1,36,106,105,107,123,89,104,73,90,122,88
1,37,106,105,107,123,89,90,104,91,73,108
1,38,106,105,107,123,89,104,108,90,73,88
1,39,106,105,107,89,90,91,123,104,73,108
1,40,106,105,107,89,104,90,91,123,108,88
1,41,106,105,107,91,90,89,104,108,73,123
1,42,106,105,107,91,108,90,92,104,89,73
1,43,106,105,107,91,92,108,90,89,73,104
1,44,106,105,107,91,92,108,90,123,73,89
1,45,106,105,107,91,92,108,90,73,89,76
1,46,106,105,107,91,92,108,93,90,123,122
1,47,106,107,105,91,92,108,93,90,123,122
1,48,106,107,105,91,92,123,122,108,104,124
1,49,106,107,123,105,122,91,121,124,92,104
1,50,106,123,122,121,105,107,91,124,120,90
1,51,106,123,105,122,121,107,91,124,90,104
1,52,106,123,105,107,122,121,91,124,90,104
1,53,106,123,105,122,121,107,91,124,90,141
1,54,106,123,122,124,105,121,107,91,141,140
1,55,106,123,124,107,122,105,121,141,91,140
2,0,107,108,124,125,106,109,126,123,105,91
2,1,107,108,125,106,124,109,126,105,123,91
2,2,107,124,108,106,125,123,105,109,126,91
2,3,107,124,106,108,125,123,105,91,142,109
2,4,107,124,106,108,125,123,105,91,142,109
2,5,107,106,124,108,125,123,105,91,109,92
2,6,107,106,124,108,125,123,105,91,109,92
2,7,107,106,124,108,123,105,125,91,92,109
2,8,107,106,124,123,105,108,125,91,104,92
2,9,107,106,124,105,123,108,125,91,104,122
2,10,107,106,105,124,108,123,91,104,125,92
2,11,105,106,107,104,108,124,123,91,125,122
2,12,105,106,107,104,123,108,124,91,122,125
2,13,105,106,104,107,123,124,108,91,122,88
2,14,105,106,104,107,123,124,91,108,122,88
2,15,105,104,106,107,123,124,122,91,108,103
2,16,105,106,104,123,107,122,124,88,91,89
2,17,105,106,104,107,123,122,89,90,124,91
2,18,105,106,122,123,104,89,107,73,88,121
2,19,105,106,122,123,89,107,73,90,104,91
2,20,105,106,122,89,73,123,104,107,88,90
2,21,105,106,122,104,123,89,73,107,121,90
2,22,105,106,122,104,123,107,89,121,88,90
2,23,105,106,104,122,123,107,121,88,124,91
2,24,105,106,123,104,122,107,124,121,88,91
2,25,105,106,104,107,123,122,124,88,108,91
2,26,105,106,107,104,89,123,88,122,73,90
2,27,106,105,107,89,104,123,90,73,108,91
2,28,106,105,107,89,123,73,90,104,122,108
2,29,106,105,107,89,123,90,73,104,91,108
2,30,106,105,107,89,123,73,90,122,104,108
2,31,106,105,107,89,123,90,73,104,91,108
2,32,106,105,107,89,73,123,90,108,122,91
2,33,106,105,107,123,89,73,90,108,122,91
2,34,106,105,107,123,89,73,90,91,108,104
2,35,106,105,107,123,89,90,108,73,91,104
2,36,106,105,107,89,123,90,73,91,104,108
2,37,106,105,107,123,89,90,108,91,104,124
2,38,106,105,107,123,89,90,91,108,73,104
2,39,106,105,107,123,89,90,91,108,104,73
