x,y,0,1,2,3,4,5,6,7,8,9
0,0,124,125,107,108,142,123,126,143,109,141
0,1,124,125,108,107,142,123,126,109,143,92
0,2,124,125,107,108,126,123,109,142,106,143
0,3,124,107,125,108,109,126,123,106,142,92
0,4,107,125,108,124,126,109,106,123,142,143
0,5,107,108,125,124,109,126,106,123,110,92
0,6,107,108,125,109,124,106,126,123,110,92
0,7,107,108,125,124,106,109,126,123,105,91
0,8,107,124,108,125,106,123,126,109,91,142
0,9,124,107,125,108,106,123,142,126,105,141
0,10,107,124,125,108,106,123,126,142,105,109
0,11,124,107,125,108,106,123,126,142,105,109
0,12,124,107,125,108,123,106,142,126,141,105
0,13,124,107,125,108,106,123,142,126,141,105
0,14,107,124,125,108,106,123,126,142,105,109
0,15,107,125,108,124,126,106,109,123,127,105
0,16,108,107,125,126,124,109,106,127,110,123
0,17,107,108,125,124,126,106,109,123,127,105
0,18,107,124,106,108,125,123,105,91,109,126
0,19,106,124,107,123,105,91,122,125,141,108
0,20,106,123,124,107,105,122,141,91,121,125
0,21,106,107,123,124,105,91,122,141,90,108
0,22,106,107,123,124,91,105,122,108,92,141
0,23,106,107,123,124,91,105,122,92,108,90
0,24,106,107,123,124,91,105,122,108,92,90
0,25,106,107,123,124,91,105,122,108,90,92
0,26,107,106,124,123,91,105,108,122,125,92
0,27,107,108,124,125,106,123,109,105,126,91
0,28,108,109,107,126,125,127,106,110,124,105
0,29,108,109,126,127,107,125,110,106,124,105
0,30,108,109,107,126,125,127,106,124,110,105
0,31,108,107,126,109,125,127,106,124,105,110
0,32,108,107,109,126,125,127,106,124,110,105
0,33,108,107,109,126,127,125,106,105,124,110
0,34,108,107,109,106,126,125,127,105,124,110
0,35,107,108,106,105,125,126,109,124,127,104
0,36,107,106,108,105,125,124,109,126,104,123
0,37,107,106,108,105,125,124,109,126,104,123
0,38,107,108,106,125,124,105,109,126,123,91
0,39,107,124,106,108,125,123,105,126,109,91
0,40,124,107,106,123,105,125,122,108,141,91
0,41,124,107,106,123,105,125,122,108,91,141
0,42,107,124,106,108,123,125,105,91,122,109
0,43,107,108,124,125,106,123,109,105,126,91
0,44,107,124,108,106,125,123,105,109,126,91
0,45,107,106,124,123,105,125,108,122,104,91
0,46,106,123,124,107,105,122,141,125,108,91
0,47,106,123,124,107,105,122,141,91,125,121
0,48,106,123,124,107,105,122,141,121,125,91
0,49,124,123,107,106,125,105,108,122,141,142
0,50,124,125,107,123,106,108,142,126,105,122
0,51,124,107,125,123,106,108,105,142,126,122
0,52,124,123,107,106,125,122,105,108,141,142
0,53,123,124,106,107,122,105,141,125,121,104
0,54,123,106,124,107,105,122,141,121,91,140
0,55,123,106,124,107,105,122,141,121,91,104
1,0,124,125,142,107,108,123,141,143,126,106
1,1,124,125,107,108,142,126,123,109,143,106
1,2,107,124,108,125,109,126,123,106,110,92
1,3,107,108,124,125,109,106,126,123,110,142
1,4,107,124,108,125,106,123,109,126,105,142
1,5,107,124,108,106,125,123,109,126,105,91
1,6,107,124,108,106,125,123,109,126,105,91
1,7,107,106,124,108,125,123,105,109,126,91
1,8,107,124,106,123,108,125,105,91,122,126
1,9,107,124,106,123,125,108,105,122,91,141
1,10,107,124,106,125,123,108,105,126,142,122
1,11,107,124,106,125,123,108,105,142,126,141
1,12,124,107,106,125,123,108,105,142,141,126
1,13,124,107,106,123,125,108,105,142,141,122
1,14,124,107,106,125,123,108,105,142,141,126
1,15,107,124,125,106,108,123,105,126,109,91
1,16,107,108,106,124,125,105,126,109,123,91
1,17,107,106,108,124,125,105,123,109,126,91
1,18,107,106,124,108,125,123,105,91,126,122
1,19,107,106,124,123,105,122,108,125,91,104
1,20,106,107,123,124,105,122,91,125,121,108
1,21,107,106,124,123,105,91,125,122,108,141
1,22,107,124,106,123,108,125,91,105,122,92
1,23,107,124,106,123,91,108,105,92,125,122
1,24,107,106,124,123,91,105,122,108,90,92
1,25,106,107,123,124,91,105,122,90,121,141
1,26,106,107,124,123,105,91,122,108,125,141
1,27,107,108,124,106,125,105,123,126,109,91
1,28,108,107,109,126,125,127,106,124,110,105
1,29,108,109,107,126,125,127,106,110,124,105
1,30,108,109,107,126,125,127,106,110,124,105
1,31,108,107,126,109,125,127,106,105,124,110
1,32,108,107,109,126,125,106,127,105,124,110
1,33,107,108,106,126,109,125,127,105,124,110
1,34,107,108,106,109,105,125,126,124,127,110
1,35,106,107,105,108,125,124,126,109,104,127
1,36,107,106,108,105,124,125,109,126,123,104
1,37,107,106,108,105,124,125,123,109,126,104
1,38,107,108,125,124,106,126,109,123,105,91
1,39,107,124,125,108,106,123,105,126,109,91
1,40,124,107,106,123,125,105,122,108,141,91
1,41,124,107,106,123,105,125,122,108,91,141
1,42,107,124,106,123,125,108,105,122,126,91
1,43,107,124,108,125,106,123,126,109,105,91
1,44,107,124,125,108,106,123,126,109,105,142
1,45,124,107,106,123,125,108,105,122,126,141
1,46,124,106,123,107,105,122,125,141,108,91
1,47,106,123,124,107,105,122,141,125,91,140
1,48,124,123,106,107,105,122,125,141,108,121
1,49,124,107,125,123,106,108,142,105,141,122
1,50,125,124,107,108,126,123,142,106,143,109
1,51,124,125,107,123,108,126,106,142,105,143
1,52,124,123,107,125,106,108,142,122,105,141
1,53,123,124,106,107,122,105,125,141,121,108
1,54,123,106,124,107,105,122,141,125,121,91
1,55,123,106,124,107,105,122,141,91,125,121
2,0,124,107,125,108,142,123,106,141,126,143
2,1,124,107,125,108,123,109,126,106,142,92
2,2,107,108,124,125,109,126,106,123,110,92
2,3,107,124,108,125,106,123,109,126,92,91
2,4,107,124,106,125,108,123,105,91,126,142
2,5,107,124,106,123,125,108,105,126,122,91
2,6,107,124,106,108,125,123,105,126,91,122
2,7,107,124,106,123,108,125,105,122,126,91
2,8,107,124,106,123,108,125,105,122,91,126
2,9,107,124,106,123,125,108,105,122,91,126
2,10,107,124,106,123,125,108,105,122,91,126
2,11,107,124,106,123,125,108,105,126,91,104
2,12,107,124,106,123,125,108,105,142,141,91
2,13,124,107,106,123,125,108,105,141,142,122
2,14,124,107,106,123,125,108,105,142,141,91
2,15,107,124,106,125,108,123,105,126,109,91
2,16,107,106,124,108,125,105,123,126,109,90
2,17,107,106,124,108,105,125,123,126,109,104
2,18,107,106,124,108,105,125,123,91,104,126
2,19,107,106,124,105,108,123,125,91,104,122
2,20,107,124,106,123,105,125,108,91,122,104
2,21,107,124,106,125,108,123,105,91,142,126
2,22,107,124,125,108,106,123,142,91,92,105
2,23,107,124,106,123,91,108,125,92,105,122
2,24,107,106,124,123,91,105,122,108,90,121
2,25,106,123,107,124,105,91,122,90,121,141
2,26,106,107,123,124,105,91,122,108,125,141
2,27,107,124,106,108,125,105,123,126,109,91
2,28,107,108,106,125,109,126,124,127,105,110
2,29,108,107,109,126,125,106,127,124,110,105
2,30,108,107,109,126,125,127,106,124,110,105
2,31,108,107,126,109,125,106,127,124,105,110
2,32,107,108,106,126,125,109,127,124,105,110
2,33,107,106,108,125,126,105,109,124,127,123
2,34,107,106,108,105,125,124,126,109,127,123
2,35,106,107,105,108,125,124,126,109,127,123
2,36,107,106,105,108,124,125,123,126,109,104
2,37,107,106,108,124,125,105,123,126,109,104
2,38,107,108,125,124,106,126,109,105,123,91
2,39,107,124,125,108,106,123,126,105,109,91
2,40,124,107,123,106,125,108,105,122,141,91
2,41,124,107,123,106,125,105,122,108,91,141
2,42,124,107,123,106,125,108,105,122,91,126
2,43,124,107,125,108,106,123,126,109,105,142
2,44,124,107,125,108,106,123,126,109,105,142
2,45,124,107,123,106,125,108,105,122,126,142
2,46,124,123,107,106,125,105,122,141,108,142
2,47,124,123,106,107,105,125,122,141,108,91
2,48,124,107,123,106,125,105,108,122,141,142
2,49,124,125,107,108,123,106,126,142,105,109
2,50,125,124,107,108,126,123,142,106,109,143
2,51,124,125,107,108,123,126,106,142,109,143
2,52,124,107,125,123,106,108,142,105,122,126
2,53,124,123,107,106,125,105,122,108,141,142
2,54,124,123,106,107,105,122,125,108,91,141
2,55,124,123,107,106,122,105,125,108,91,141
3,0,124,107,125,123,108,106,142,141,126,92
3,1,124,107,123,125,108,106,142,141,91,92
3,2,124,107,123,106,125,108,91,142,141,105
3,3,107,124,123,106,108,125,105,122,91,141
3,4,107,124,106,123,125,108,105,122,91,141
3,5,107,124,106,123,125,108,105,122,91,141
3,6,107,124,106,123,108,125,105,122,91,126
3,7,107,124,106,123,125,108,105,122,91,126
3,8,107,124,106,123,125,108,105,122,126,91
3,9,107,124,106,123,125,108,105,122,91,141
3,10,107,124,106,123,125,108,105,122,91,141
