i,v
0,37.0
1,133.0
2,178.0
3,236.0
4,263.0
5,251.0
6,279.0
7,287.0
8,333.0
9,351.0
10,365.0
11,369.0
12,442.0
13,462.0
14,485.0
15,503.0
16,585.0
17,622.0
18,628.0
19,705.0
20,741.0
21,819.0
22,755.0
23,815.0
24,887.0
25,938.0
26,934.0
27,1052.0
28,1070.0
29,1124.0
30,1090.0
31,1132.0
32,1222.0
33,1211.0
34,1227.0
35,1257.0
36,1356.0
37,1386.0
38,1440.0
39,1428.0
40,1435.0
41,1429.0
42,1371.0
43,1320.0
44,1279.0
45,1263.0
46,1163.0
47,1141.0
48,1011.0
49,905.0
50,807.0
51,762.0
52,713.0
53,597.0
54,557.0
55,490.0
56,431.0
57,375.0
58,333.0
59,263.0
60,270.0
61,224.0
62,206.0
63,187.0
64,165.0
65,130.0
66,106.0
67,114.0
68,117.0
69,104.0
70,70.0
71,58.0
72,85.0
73,83.0
74,71.0
75,65.0
76,62.0
77,54.0
78,48.0
79,54.0
80,63.0
81,39.0
82,41.0
83,44.0
84,57.0
85,43.0
86,35.0
87,43.0
88,39.0
89,46.0
90,41.0
91,40.0
92,49.0
93,40.0
94,35.0
95,33.0
96,48.0
97,58.0
98,54.0
99,12.0
