i,v
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,2.0
19,0.0
20,0.0
21,0.0
22,1.0
23,3.0
24,6.0
25,12.0
26,25.0
27,40.0
28,74.0
29,145.0
30,228.0
31,314.0
32,455.0
33,566.0
34,715.0
35,813.0
36,892.0
37,1014.0
38,1273.0
39,1461.0
40,1771.0
41,1912.0
42,2114.0
43,2331.0
44,2294.0
45,2267.0
46,2136.0
47,2024.0
48,1724.0
49,1513.0
50,1251.0
51,988.0
52,756.0
53,522.0
54,363.0
55,266.0
56,179.0
57,105.0
58,62.0
59,57.0
60,44.0
61,28.0
62,24.0
63,22.0
64,27.0
65,23.0
66,28.0
67,20.0
68,22.0
69,20.0
70,28.0
71,20.0
72,18.0
73,25.0
74,30.0
75,66.0
76,85.0
77,89.0
78,165.0
79,191.0
80,366.0
81,574.0
82,589.0
83,471.0
84,623.0
85,1160.0
86,2435.0
87,1983.0
88,1478.0
89,1297.0
90,970.0
91,887.0
92,692.0
93,621.0
94,698.0
95,741.0
96,597.0
97,281.0
98,59.0
99,5.0
