i,v
0,0.0
1,0.0
2,0.0
3,8.0
4,27.0
5,57.0
6,118.0
7,129.0
8,161.0
9,155.0
10,156.0
11,208.0
12,278.0
13,359.0
14,524.0
15,635.0
16,747.0
17,931.0
18,979.0
19,1023.0
20,1120.0
21,1086.0
22,1155.0
23,1144.0
24,1271.0
25,1290.0
26,1279.0
27,1310.0
28,1302.0
29,1326.0
30,1323.0
31,1373.0
32,1334.0
33,1331.0
34,1286.0
35,1290.0
36,1286.0
37,1260.0
38,1305.0
39,1251.0
40,1220.0
41,1192.0
42,1101.0
43,1034.0
44,1040.0
45,882.0
46,824.0
47,742.0
48,767.0
49,703.0
50,660.0
51,612.0
52,576.0
53,559.0
54,501.0
55,459.0
56,416.0
57,385.0
58,361.0
59,352.0
60,352.0
61,307.0
62,293.0
63,238.0
64,222.0
65,206.0
66,215.0
67,165.0
68,199.0
69,150.0
70,136.0
71,118.0
72,122.0
73,101.0
74,80.0
75,80.0
76,72.0
77,79.0
78,58.0
79,57.0
80,60.0
81,58.0
82,66.0
83,40.0
84,37.0
85,40.0
86,49.0
87,43.0
88,41.0
89,32.0
90,41.0
91,34.0
92,50.0
93,33.0
94,32.0
95,23.0
96,23.0
97,13.0
98,8.0
99,0.0
