i,v
0,2302.0
1,1636.0
2,2458.0
3,4946.0
4,1360.0
5,1362.0
6,428.0
7,410.0
8,414.0
9,381.0
10,329.0
11,332.0
12,331.0
13,349.0
14,340.0
15,360.0
16,371.0
17,388.0
18,556.0
19,365.0
20,429.0
21,393.0
22,403.0
23,552.0
24,335.0
25,367.0
26,325.0
27,540.0
28,346.0
29,334.0
30,303.0
31,484.0
32,330.0
33,308.0
34,560.0
35,453.0
36,700.0
37,457.0
38,477.0
39,668.0
40,472.0
41,769.0
42,569.0
43,625.0
44,954.0
45,610.0
46,1081.0
47,894.0
48,1486.0
49,956.0
50,1458.0
51,900.0
52,1148.0
53,1195.0
54,734.0
55,1167.0
56,628.0
57,783.0
58,473.0
59,566.0
60,550.0
61,342.0
62,472.0
63,449.0
64,259.0
65,342.0
66,295.0
67,193.0
68,297.0
69,273.0
70,132.0
71,174.0
72,148.0
73,102.0
74,139.0
75,112.0
76,67.0
77,36.0
78,43.0
79,37.0
80,22.0
81,11.0
82,11.0
83,4.0
84,5.0
85,1.0
86,2.0
87,3.0
88,2.0
89,1.0
90,0.0
91,1.0
92,0.0
93,0.0
94,1.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
