i,v
0,11131.0
1,1282.0
2,443.0
3,313.0
4,297.0
5,264.0
6,288.0
7,285.0
8,227.0
9,275.0
10,264.0
11,304.0
12,294.0
13,317.0
14,349.0
15,387.0
16,361.0
17,366.0
18,356.0
19,397.0
20,401.0
21,410.0
22,405.0
23,379.0
24,398.0
25,376.0
26,364.0
27,329.0
28,335.0
29,359.0
30,339.0
31,381.0
32,357.0
33,378.0
34,390.0
35,389.0
36,345.0
37,424.0
38,424.0
39,389.0
40,409.0
41,394.0
42,407.0
43,390.0
44,427.0
45,467.0
46,424.0
47,434.0
48,410.0
49,440.0
50,430.0
51,393.0
52,393.0
53,456.0
54,460.0
55,467.0
56,463.0
57,480.0
58,520.0
59,445.0
60,519.0
61,529.0
62,541.0
63,506.0
64,469.0
65,487.0
66,516.0
67,523.0
68,526.0
69,456.0
70,520.0
71,476.0
72,537.0
73,524.0
74,464.0
75,471.0
76,399.0
77,413.0
78,390.0
79,365.0
80,304.0
81,336.0
82,359.0
83,372.0
84,378.0
85,362.0
86,323.0
87,329.0
88,282.0
89,275.0
90,292.0
91,323.0
92,293.0
93,374.0
94,406.0
95,428.0
96,281.0
97,183.0
98,144.0
99,20.0
