i,v
0,8.0
1,32.0
2,76.0
3,96.0
4,136.0
5,170.0
6,198.0
7,245.0
8,245.0
9,311.0
10,340.0
11,380.0
12,405.0
13,439.0
14,463.0
15,428.0
16,528.0
17,581.0
18,579.0
19,570.0
20,609.0
21,639.0
22,613.0
23,620.0
24,657.0
25,648.0
26,635.0
27,585.0
28,563.0
29,481.0
30,503.0
31,452.0
32,462.0
33,417.0
34,419.0
35,425.0
36,451.0
37,438.0
38,470.0
39,490.0
40,470.0
41,436.0
42,386.0
43,353.0
44,332.0
45,333.0
46,347.0
47,369.0
48,369.0
49,366.0
50,391.0
51,443.0
52,499.0
53,542.0
54,525.0
55,555.0
56,545.0
57,467.0
58,394.0
59,338.0
60,470.0
61,340.0
62,233.0
63,163.0
64,170.0
65,301.0
66,323.0
67,415.0
68,416.0
69,382.0
70,380.0
71,254.0
72,198.0
73,163.0
74,104.0
75,118.0
76,257.0
77,1404.0
78,5101.0
79,6943.0
80,5416.0
81,1101.0
82,97.0
83,55.0
84,32.0
85,32.0
86,10.0
87,8.0
88,6.0
89,7.0
90,1.0
91,2.0
92,2.0
93,1.0
94,3.0
95,1.0
96,0.0
97,0.0
98,0.0
99,0.0
