i,v
0,0.0
1,4.0
2,19.0
3,30.0
4,65.0
5,106.0
6,118.0
7,175.0
8,265.0
9,344.0
10,429.0
11,457.0
12,487.0
13,476.0
14,500.0
15,481.0
16,520.0
17,604.0
18,709.0
19,741.0
20,865.0
21,943.0
22,985.0
23,1005.0
24,1107.0
25,1100.0
26,1181.0
27,1194.0
28,1160.0
29,1238.0
30,1187.0
31,1346.0
32,1303.0
33,1280.0
34,1313.0
35,1375.0
36,1304.0
37,1274.0
38,1232.0
39,1143.0
40,1040.0
41,1021.0
42,1018.0
43,957.0
44,915.0
45,857.0
46,859.0
47,816.0
48,740.0
49,704.0
50,757.0
51,697.0
52,614.0
53,573.0
54,545.0
55,483.0
56,489.0
57,379.0
58,344.0
59,294.0
60,246.0
61,192.0
62,173.0
63,153.0
64,140.0
65,141.0
66,123.0
67,139.0
68,118.0
69,149.0
70,138.0
71,141.0
72,111.0
73,152.0
74,118.0
75,155.0
76,186.0
77,119.0
78,135.0
79,142.0
80,155.0
81,154.0
82,150.0
83,160.0
84,135.0
85,145.0
86,164.0
87,173.0
88,158.0
89,178.0
90,159.0
91,171.0
92,159.0
93,146.0
94,140.0
95,139.0
96,164.0
97,181.0
98,179.0
99,28.0
