i,v
0,2408.0
1,2126.0
2,1071.0
3,1316.0
4,676.0
5,1047.0
6,689.0
7,667.0
8,699.0
9,767.0
10,745.0
11,738.0
12,724.0
13,724.0
14,703.0
15,675.0
16,629.0
17,658.0
18,1000.0
19,594.0
20,610.0
21,573.0
22,567.0
23,858.0
24,542.0
25,520.0
26,559.0
27,780.0
28,482.0
29,526.0
30,502.0
31,740.0
32,426.0
33,457.0
34,712.0
35,423.0
36,701.0
37,444.0
38,483.0
39,660.0
40,447.0
41,622.0
42,397.0
43,432.0
44,616.0
45,400.0
46,581.0
47,407.0
48,623.0
49,407.0
50,621.0
51,403.0
52,565.0
53,642.0
54,402.0
55,591.0
56,422.0
57,604.0
58,414.0
59,588.0
60,555.0
61,399.0
62,583.0
63,587.0
64,372.0
65,538.0
66,568.0
67,396.0
68,556.0
69,493.0
70,347.0
71,470.0
72,493.0
73,340.0
74,534.0
75,547.0
76,552.0
77,322.0
78,388.0
79,235.0
80,150.0
81,59.0
82,67.0
83,47.0
84,41.0
85,26.0
86,19.0
87,19.0
88,16.0
89,14.0
90,13.0
91,8.0
92,3.0
93,3.0
94,1.0
95,3.0
96,3.0
97,2.0
98,2.0
99,0.0
