i,v
0,14.0
1,68.0
2,183.0
3,269.0
4,268.0
5,308.0
6,328.0
7,321.0
8,324.0
9,315.0
10,386.0
11,419.0
12,415.0
13,446.0
14,503.0
15,455.0
16,613.0
17,641.0
18,658.0
19,595.0
20,626.0
21,631.0
22,580.0
23,605.0
24,591.0
25,522.0
26,579.0
27,550.0
28,529.0
29,562.0
30,620.0
31,624.0
32,477.0
33,500.0
34,405.0
35,383.0
36,343.0
37,340.0
38,349.0
39,354.0
40,368.0
41,360.0
42,356.0
43,445.0
44,460.0
45,519.0
46,497.0
47,555.0
48,503.0
49,466.0
50,511.0
51,389.0
52,380.0
53,354.0
54,383.0
55,429.0
56,383.0
57,403.0
58,383.0
59,260.0
60,206.0
61,181.0
62,138.0
63,146.0
64,110.0
65,107.0
66,120.0
67,103.0
68,146.0
69,158.0
70,214.0
71,242.0
72,213.0
73,247.0
74,386.0
75,458.0
76,446.0
77,473.0
78,617.0
79,774.0
80,1173.0
81,2056.0
82,2708.0
83,2092.0
84,2307.0
85,1777.0
86,1779.0
87,1091.0
88,944.0
89,531.0
90,368.0
91,306.0
92,255.0
93,242.0
94,306.0
95,284.0
96,213.0
97,109.0
98,42.0
99,5.0
