i,v
0,5031.0
1,4504.0
2,3258.0
3,2536.0
4,1977.0
5,1601.0
6,1331.0
7,1016.0
8,957.0
9,875.0
10,790.0
11,958.0
12,1202.0
13,1131.0
14,1214.0
15,1196.0
16,1207.0
17,1086.0
18,854.0
19,758.0
20,638.0
21,544.0
22,520.0
23,531.0
24,536.0
25,446.0
26,442.0
27,457.0
28,466.0
29,438.0
30,357.0
31,381.0
32,351.0
33,340.0
34,335.0
35,342.0
36,340.0
37,329.0
38,303.0
39,298.0
40,334.0
41,284.0
42,306.0
43,314.0
44,315.0
45,310.0
46,297.0
47,287.0
48,312.0
49,294.0
50,266.0
51,263.0
52,237.0
53,183.0
54,170.0
55,183.0
56,136.0
57,133.0
58,111.0
59,125.0
60,125.0
61,135.0
62,108.0
63,110.0
64,127.0
65,102.0
66,72.0
67,77.0
68,53.0
69,41.0
70,53.0
71,44.0
72,32.0
73,45.0
74,28.0
75,45.0
76,44.0
77,51.0
78,80.0
79,106.0
80,129.0
81,159.0
82,192.0
83,237.0
84,213.0
85,174.0
86,138.0
87,103.0
88,94.0
89,89.0
90,106.0
91,61.0
92,54.0
93,52.0
94,64.0
95,54.0
96,27.0
97,11.0
98,5.0
99,0.0
