i,v
0,1976.0
1,1902.0
2,1124.0
3,1181.0
4,549.0
5,848.0
6,537.0
7,548.0
8,574.0
9,582.0
10,543.0
11,572.0
12,556.0
13,562.0
14,532.0
15,524.0
16,536.0
17,544.0
18,830.0
19,522.0
20,489.0
21,528.0
22,493.0
23,808.0
24,487.0
25,469.0
26,441.0
27,645.0
28,457.0
29,437.0
30,416.0
31,926.0
32,733.0
33,790.0
34,1031.0
35,442.0
36,551.0
37,307.0
38,303.0
39,492.0
40,322.0
41,481.0
42,328.0
43,299.0
44,424.0
45,288.0
46,422.0
47,260.0
48,418.0
49,239.0
50,374.0
51,215.0
52,352.0
53,371.0
54,228.0
55,350.0
56,214.0
57,352.0
58,230.0
59,333.0
60,367.0
61,224.0
62,328.0
63,392.0
64,316.0
65,525.0
66,471.0
67,314.0
68,516.0
69,478.0
70,308.0
71,551.0
72,560.0
73,380.0
74,613.0
75,725.0
76,798.0
77,505.0
78,772.0
79,747.0
80,701.0
81,433.0
82,718.0
83,760.0
84,725.0
85,662.0
86,326.0
87,239.0
88,234.0
89,190.0
90,202.0
91,171.0
92,128.0
93,164.0
94,207.0
95,212.0
96,221.0
97,236.0
98,292.0
99,147.0
